NUTS2_code,process,season,day_type,hour,load,temperature
AT13,shw_residential,2.0,0,9,16160.7,
AT13,shw_residential,2.0,0,10,12539.5,
AT13,shw_residential,2.0,0,11,10340.9,
AT13,shw_residential,2.0,0,12,9306.3,
AT13,shw_residential,2.0,0,13,9435.61,
AT13,shw_residential,2.0,0,14,9564.93,
AT13,shw_residential,2.0,0,15,8788.99,
AT13,shw_residential,2.0,0,16,7754.37,
AT13,shw_residential,2.0,0,17,7107.73,
AT13,shw_residential,2.0,0,18,9176.95,
AT13,shw_residential,2.0,0,19,11634.2,
AT13,shw_residential,2.0,0,20,13444.8,
AT13,shw_residential,2.0,0,21,12280.8,
AT13,shw_residential,2.0,0,22,11763.5,
AT13,shw_residential,2.0,0,23,9435.6,
AT13,shw_residential,2.0,0,24,6978.38,
AT13,shw_residential,2.0,1,1,4556.15,
AT13,shw_residential,2.0,1,2,2133.91,
AT13,shw_residential,2.0,1,3,1228.61,
AT13,shw_residential,2.0,1,4,452.647,
AT13,shw_residential,2.0,1,5,711.302,
AT13,shw_residential,2.0,1,6,1745.92,
AT13,shw_residential,2.0,1,7,3815.17,
AT13,shw_residential,2.0,1,8,8535.62,
AT13,shw_residential,2.0,1,9,15260.7,
AT13,shw_residential,2.0,1,10,19916.4,
AT13,shw_residential,2.0,1,11,19528.4,
AT13,shw_residential,2.0,1,12,16941.8,
AT13,shw_residential,2.0,1,13,15907.2,
AT13,shw_residential,2.0,1,14,17200.6,
AT13,shw_residential,2.0,1,15,16036.7,
AT13,shw_residential,2.0,1,16,15907.3,
AT13,shw_residential,2.0,1,17,17329.9,
AT13,shw_residential,2.0,1,18,21080.4,
AT13,shw_residential,2.0,1,19,23537.7,
AT13,shw_residential,2.0,1,20,21339.1,
AT13,shw_residential,2.0,1,21,16166.0,
AT13,shw_residential,2.0,1,22,10863.5,
AT13,shw_residential,2.0,1,23,7242.34,
AT13,shw_residential,2.0,1,24,5949.06,
AT13,shw_residential,2.0,2,1,4267.81,
AT13,shw_residential,2.0,2,2,2974.53,
AT13,shw_residential,2.0,2,3,1810.59,
AT13,shw_residential,2.0,2,4,646.64,
AT13,shw_residential,2.0,2,5,581.974,
AT13,shw_residential,2.0,2,6,581.974,
AT13,shw_residential,2.0,2,7,2392.56,
AT13,shw_residential,2.0,2,8,7113.0,
AT13,shw_residential,2.0,2,9,14743.3,
AT13,shw_residential,2.0,2,10,22632.3,
AT13,shw_residential,2.0,2,11,25736.2,
AT13,shw_residential,2.0,2,12,25348.2,
AT13,shw_residential,2.0,2,13,22115.0,
AT13,shw_residential,2.0,2,14,18364.5,
AT13,shw_residential,2.0,2,15,13579.4,
AT13,shw_residential,2.0,2,16,9182.25,
AT13,shw_residential,2.0,2,17,7630.32,
AT13,shw_residential,2.0,2,18,8794.27,
AT13,shw_residential,2.0,2,19,11380.8,
AT13,shw_residential,2.0,2,20,12156.8,
AT13,shw_residential,2.0,2,21,11380.8,
AT13,shw_residential,2.0,2,22,10992.8,
AT13,shw_residential,2.0,2,23,8794.26,
AT13,shw_residential,2.0,2,24,6464.62,
AT21,shw_residential,0.0,0,1,2845.21,
AT21,shw_residential,0.0,0,2,1034.62,
AT21,shw_residential,0.0,0,3,646.638,
AT21,shw_residential,0.0,0,4,646.638,
AT21,shw_residential,0.0,0,5,1681.26,
AT21,shw_residential,0.0,0,6,4914.43,
AT21,shw_residential,0.0,0,7,9828.88,
AT21,shw_residential,0.0,0,8,12932.7,
AT21,shw_residential,0.0,0,9,13450.1,
AT21,shw_residential,0.0,0,10,10604.9,
AT21,shw_residential,0.0,0,11,8794.28,
AT21,shw_residential,0.0,0,12,7501.0,
AT21,shw_residential,0.0,0,13,8018.31,
AT21,shw_residential,0.0,0,14,8276.96,
AT21,shw_residential,0.0,0,15,7759.65,
AT21,shw_residential,0.0,0,16,6725.03,
AT21,shw_residential,0.0,0,17,6466.38,
AT21,shw_residential,0.0,0,18,6983.69,
AT21,shw_residential,0.0,0,19,9570.23,
AT21,shw_residential,0.0,0,20,10604.8,
AT21,shw_residential,0.0,0,21,11122.2,
AT21,shw_residential,0.0,0,22,10087.5,
AT21,shw_residential,0.0,0,23,8535.6,
AT21,shw_residential,0.0,0,24,5949.05,
AT21,shw_residential,0.0,1,1,3685.83,
AT21,shw_residential,0.0,1,2,1422.6,
AT21,shw_residential,0.0,1,3,905.294,
AT21,shw_residential,0.0,1,4,129.328,
AT21,shw_residential,0.0,1,5,387.983,
AT21,shw_residential,0.0,1,6,1681.26,
AT21,shw_residential,0.0,1,7,4526.47,
AT21,shw_residential,0.0,1,8,8794.28,
AT21,shw_residential,0.0,1,9,13450.1,
AT21,shw_residential,0.0,1,10,15778.0,
AT21,shw_residential,0.0,1,11,14743.3,
AT21,shw_residential,0.0,1,12,12932.7,
AT21,shw_residential,0.0,1,13,11898.1,
AT21,shw_residential,0.0,1,14,12932.7,
AT21,shw_residential,0.0,1,15,11639.5,
AT21,shw_residential,0.0,1,16,11122.2,
AT21,shw_residential,0.0,1,17,11639.5,
AT21,shw_residential,0.0,1,18,14743.3,
AT21,shw_residential,0.0,1,19,18105.9,
AT21,shw_residential,0.0,1,20,18105.9,
AT21,shw_residential,0.0,1,21,15260.7,
AT21,shw_residential,0.0,1,22,11380.8,
AT21,shw_residential,0.0,1,23,7759.65,
AT21,shw_residential,0.0,1,24,5690.41,
AT21,shw_residential,0.0,2,1,3362.52,
AT21,shw_residential,0.0,2,2,1810.59,
AT21,shw_residential,0.0,2,3,775.967,
AT21,shw_residential,0.0,2,4,0.0,
AT21,shw_residential,0.0,2,5,129.328,
AT21,shw_residential,0.0,2,6,387.983,
AT21,shw_residential,0.0,2,7,2457.22,
AT21,shw_residential,0.0,2,8,5949.06,
AT21,shw_residential,0.0,2,9,12156.8,
AT21,shw_residential,0.0,2,10,17588.5,
AT21,shw_residential,0.0,2,11,21468.4,
AT21,shw_residential,0.0,2,12,21468.4,
AT21,shw_residential,0.0,2,13,19399.1,
AT21,shw_residential,0.0,2,14,15260.6,
AT21,shw_residential,0.0,2,15,11639.5,
AT21,shw_residential,0.0,2,16,8018.29,
AT21,shw_residential,0.0,2,17,6983.69,
AT21,shw_residential,0.0,2,18,7242.34,
AT21,shw_residential,0.0,2,19,8794.26,
AT21,shw_residential,0.0,2,20,9828.86,
AT21,shw_residential,0.0,2,21,9052.9,
AT21,shw_residential,0.0,2,22,8794.26,
AT21,shw_residential,0.0,2,23,6725.03,
AT21,shw_residential,0.0,2,24,4914.45,
AT21,shw_residential,1.0,0,1,3093.28,
AT21,shw_residential,1.0,0,2,1286.22,
AT21,shw_residential,1.0,0,3,255.128,
AT21,shw_residential,1.0,0,4,513.783,
AT21,shw_residential,1.0,0,5,1803.53,
AT21,shw_residential,1.0,0,6,6973.1,
AT21,shw_residential,1.0,0,7,14991.4,
AT21,shw_residential,1.0,0,8,19647.2,
AT21,shw_residential,1.0,0,9,18871.2,
AT21,shw_residential,1.0,0,10,14474.1,
AT21,shw_residential,1.0,0,11,11887.6,
AT21,shw_residential,1.0,0,12,11111.6,
AT21,shw_residential,1.0,0,13,10852.9,
AT21,shw_residential,1.0,0,14,10852.9,
AT21,shw_residential,1.0,0,15,9818.32,
AT21,shw_residential,1.0,0,16,8783.7,
AT21,shw_residential,1.0,0,17,7749.07,
AT21,shw_residential,1.0,0,18,11370.2,
AT21,shw_residential,1.0,0,19,13698.1,
AT21,shw_residential,1.0,0,20,16284.7,
AT21,shw_residential,1.0,0,21,13439.5,
AT21,shw_residential,1.0,0,22,13439.5,
AT21,shw_residential,1.0,0,23,10335.6,
AT21,shw_residential,1.0,0,24,8007.72,
AT21,shw_residential,1.0,1,1,5426.46,
AT21,shw_residential,1.0,1,2,2845.21,
AT21,shw_residential,1.0,1,3,1551.93,
AT21,shw_residential,1.0,1,4,775.965,
AT21,shw_residential,1.0,1,5,1034.62,
AT21,shw_residential,1.0,1,6,1810.58,
AT21,shw_residential,1.0,1,7,3103.86,
AT21,shw_residential,1.0,1,8,8276.95,
AT21,shw_residential,1.0,1,9,17071.2,
AT21,shw_residential,1.0,1,10,24054.9,
AT21,shw_residential,1.0,1,11,24313.6,
AT21,shw_residential,1.0,1,12,20951.0,
AT21,shw_residential,1.0,1,13,19916.4,
AT21,shw_residential,1.0,1,14,21468.4,
AT21,shw_residential,1.0,1,15,20433.8,
AT21,shw_residential,1.0,1,16,20692.4,
AT21,shw_residential,1.0,1,17,23020.3,
AT21,shw_residential,1.0,1,18,27417.5,
AT21,shw_residential,1.0,1,19,28969.4,
AT21,shw_residential,1.0,1,20,24572.2,
AT21,shw_residential,1.0,1,21,17071.2,
AT21,shw_residential,1.0,1,22,10346.2,
AT21,shw_residential,1.0,1,23,6725.03,
AT21,shw_residential,1.0,1,24,6207.72,
AT21,shw_residential,1.0,2,1,5173.1,
AT21,shw_residential,1.0,2,2,4138.48,
AT21,shw_residential,1.0,2,3,2845.21,
AT21,shw_residential,1.0,2,4,1293.28,
AT21,shw_residential,1.0,2,5,1034.62,
AT21,shw_residential,1.0,2,6,775.965,
AT21,shw_residential,1.0,2,7,2327.9,
AT21,shw_residential,1.0,2,8,8276.95,
AT21,shw_residential,1.0,2,9,17329.9,
AT21,shw_residential,1.0,2,10,27676.1,
AT21,shw_residential,1.0,2,11,30004.0,
AT21,shw_residential,1.0,2,12,29228.0,
AT21,shw_residential,1.0,2,13,24830.9,
AT21,shw_residential,1.0,2,14,21468.4,
AT21,shw_residential,1.0,2,15,15519.3,
AT21,shw_residential,1.0,2,16,10346.2,
AT21,shw_residential,1.0,2,17,8276.95,
AT21,shw_residential,1.0,2,18,10346.2,
AT21,shw_residential,1.0,2,19,13967.4,
AT21,shw_residential,1.0,2,20,14484.7,
AT21,shw_residential,1.0,2,21,13708.7,
AT21,shw_residential,1.0,2,22,13191.4,
AT21,shw_residential,1.0,2,23,10863.5,
AT21,shw_residential,1.0,2,24,8014.79,
AT21,shw_residential,2.0,0,1,2969.25,
AT21,shw_residential,2.0,0,2,1160.42,
AT21,shw_residential,2.0,0,3,450.883,
AT21,shw_residential,2.0,0,4,580.211,
AT21,shw_residential,2.0,0,5,1742.4,
AT21,shw_residential,2.0,0,6,5943.77,
AT21,shw_residential,2.0,0,7,12410.1,
AT21,shw_residential,2.0,0,8,16290.0,
AT21,shw_residential,2.0,0,9,16160.7,
AT21,shw_residential,2.0,0,10,12539.5,
AT21,shw_residential,2.0,0,11,10340.9,
AT21,shw_residential,2.0,0,12,9306.3,
AT21,shw_residential,2.0,0,13,9435.61,
AT21,shw_residential,2.0,0,14,9564.93,
AT21,shw_residential,2.0,0,15,8788.99,
AT21,shw_residential,2.0,0,16,7754.37,
AT21,shw_residential,2.0,0,17,7107.73,
AT21,shw_residential,2.0,0,18,9176.95,
AT21,shw_residential,2.0,0,19,11634.2,
AT21,shw_residential,2.0,0,20,13444.8,
AT21,shw_residential,2.0,0,21,12280.8,
AT21,shw_residential,2.0,0,22,11763.5,
AT21,shw_residential,2.0,0,23,9435.6,
AT21,shw_residential,2.0,0,24,6978.38,
AT21,shw_residential,2.0,1,1,4556.15,
AT21,shw_residential,2.0,1,2,2133.91,
AT21,shw_residential,2.0,1,3,1228.61,
AT21,shw_residential,2.0,1,4,452.647,
AT21,shw_residential,2.0,1,5,711.302,
AT21,shw_residential,2.0,1,6,1745.92,
AT21,shw_residential,2.0,1,7,3815.17,
AT21,shw_residential,2.0,1,8,8535.62,
AT21,shw_residential,2.0,1,9,15260.7,
AT21,shw_residential,2.0,1,10,19916.4,
AT21,shw_residential,2.0,1,11,19528.4,
AT21,shw_residential,2.0,1,12,16941.8,
AT21,shw_residential,2.0,1,13,15907.2,
AT21,shw_residential,2.0,1,14,17200.6,
AT21,shw_residential,2.0,1,15,16036.7,
AT21,shw_residential,2.0,1,16,15907.3,
AT21,shw_residential,2.0,1,17,17329.9,
AT21,shw_residential,2.0,1,18,21080.4,
AT21,shw_residential,2.0,1,19,23537.7,
AT21,shw_residential,2.0,1,20,21339.1,
AT21,shw_residential,2.0,1,21,16166.0,
AT21,shw_residential,2.0,1,22,10863.5,
AT21,shw_residential,2.0,1,23,7242.34,
AT21,shw_residential,2.0,1,24,5949.06,
AT21,shw_residential,2.0,2,1,4267.81,
AT21,shw_residential,2.0,2,2,2974.53,
AT21,shw_residential,2.0,2,3,1810.59,
AT21,shw_residential,2.0,2,4,646.64,
AT21,shw_residential,2.0,2,5,581.974,
AT21,shw_residential,2.0,2,6,581.974,
AT21,shw_residential,2.0,2,7,2392.56,
AT21,shw_residential,2.0,2,8,7113.0,
AT21,shw_residential,2.0,2,9,14743.3,
AT21,shw_residential,2.0,2,10,22632.3,
AT21,shw_residential,2.0,2,11,25736.2,
AT21,shw_residential,2.0,2,12,25348.2,
AT21,shw_residential,2.0,2,13,22115.0,
AT21,shw_residential,2.0,2,14,18364.5,
AT21,shw_residential,2.0,2,15,13579.4,
AT21,shw_residential,2.0,2,16,9182.25,
AT21,shw_residential,2.0,2,17,7630.32,
AT21,shw_residential,2.0,2,18,8794.27,
AT21,shw_residential,2.0,2,19,11380.8,
AT21,shw_residential,2.0,2,20,12156.8,
AT21,shw_residential,2.0,2,21,11380.8,
AT21,shw_residential,2.0,2,22,10992.8,
AT21,shw_residential,2.0,2,23,8794.26,
AT21,shw_residential,2.0,2,24,6464.62,
AT22,shw_residential,0.0,0,1,2845.21,
AT22,shw_residential,0.0,0,2,1034.62,
AT22,shw_residential,0.0,0,3,646.638,
AT22,shw_residential,0.0,0,4,646.638,
AT22,shw_residential,0.0,0,5,1681.26,
AT22,shw_residential,0.0,0,6,4914.43,
AT22,shw_residential,0.0,0,7,9828.88,
AT22,shw_residential,0.0,0,8,12932.7,
AT22,shw_residential,0.0,0,9,13450.1,
AT22,shw_residential,0.0,0,10,10604.9,
AT22,shw_residential,0.0,0,11,8794.28,
AT22,shw_residential,0.0,0,12,7501.0,
AT22,shw_residential,0.0,0,13,8018.31,
AT22,shw_residential,0.0,0,14,8276.96,
AT22,shw_residential,0.0,0,15,7759.65,
AT22,shw_residential,0.0,0,16,6725.03,
AT22,shw_residential,0.0,0,17,6466.38,
AT22,shw_residential,0.0,0,18,6983.69,
AT22,shw_residential,0.0,0,19,9570.23,
AT22,shw_residential,0.0,0,20,10604.8,
AT22,shw_residential,0.0,0,21,11122.2,
AT22,shw_residential,0.0,0,22,10087.5,
AT22,shw_residential,0.0,0,23,8535.6,
AT22,shw_residential,0.0,0,24,5949.05,
AT22,shw_residential,0.0,1,1,3685.83,
AT22,shw_residential,0.0,1,2,1422.6,
AT22,shw_residential,0.0,1,3,905.294,
AT22,shw_residential,0.0,1,4,129.328,
AT22,shw_residential,0.0,1,5,387.983,
AT22,shw_residential,0.0,1,6,1681.26,
AT22,shw_residential,0.0,1,7,4526.47,
AT22,shw_residential,0.0,1,8,8794.28,
AT22,shw_residential,0.0,1,9,13450.1,
AT22,shw_residential,0.0,1,10,15778.0,
AT22,shw_residential,0.0,1,11,14743.3,
AT22,shw_residential,0.0,1,12,12932.7,
AT22,shw_residential,0.0,1,13,11898.1,
AT22,shw_residential,0.0,1,14,12932.7,
AT22,shw_residential,0.0,1,15,11639.5,
AT22,shw_residential,0.0,1,16,11122.2,
AT22,shw_residential,0.0,1,17,11639.5,
AT22,shw_residential,0.0,1,18,14743.3,
AT22,shw_residential,0.0,1,19,18105.9,
AT22,shw_residential,0.0,1,20,18105.9,
AT22,shw_residential,0.0,1,21,15260.7,
AT22,shw_residential,0.0,1,22,11380.8,
AT22,shw_residential,0.0,1,23,7759.65,
AT22,shw_residential,0.0,1,24,5690.41,
AT22,shw_residential,0.0,2,1,3362.52,
AT22,shw_residential,0.0,2,2,1810.59,
AT22,shw_residential,0.0,2,3,775.967,
AT22,shw_residential,0.0,2,4,0.0,
AT22,shw_residential,0.0,2,5,129.328,
AT22,shw_residential,0.0,2,6,387.983,
AT22,shw_residential,0.0,2,7,2457.22,
AT22,shw_residential,0.0,2,8,5949.06,
AT22,shw_residential,0.0,2,9,12156.8,
AT22,shw_residential,0.0,2,10,17588.5,
AT22,shw_residential,0.0,2,11,21468.4,
AT22,shw_residential,0.0,2,12,21468.4,
AT22,shw_residential,0.0,2,13,19399.1,
AT22,shw_residential,0.0,2,14,15260.6,
AT22,shw_residential,0.0,2,15,11639.5,
AT22,shw_residential,0.0,2,16,8018.29,
AT22,shw_residential,0.0,2,17,6983.69,
AT22,shw_residential,0.0,2,18,7242.34,
AT22,shw_residential,0.0,2,19,8794.26,
AT22,shw_residential,0.0,2,20,9828.86,
AT22,shw_residential,0.0,2,21,9052.9,
AT22,shw_residential,0.0,2,22,8794.26,
AT22,shw_residential,0.0,2,23,6725.03,
AT22,shw_residential,0.0,2,24,4914.45,
AT22,shw_residential,1.0,0,1,3093.28,
AT22,shw_residential,1.0,0,2,1286.22,
AT22,shw_residential,1.0,0,3,255.128,
AT22,shw_residential,1.0,0,4,513.783,
AT22,shw_residential,1.0,0,5,1803.53,
AT22,shw_residential,1.0,0,6,6973.1,
AT22,shw_residential,1.0,0,7,14991.4,
AT22,shw_residential,1.0,0,8,19647.2,
AT22,shw_residential,1.0,0,9,18871.2,
AT22,shw_residential,1.0,0,10,14474.1,
AT22,shw_residential,1.0,0,11,11887.6,
AT22,shw_residential,1.0,0,12,11111.6,
AT22,shw_residential,1.0,0,13,10852.9,
AT22,shw_residential,1.0,0,14,10852.9,
AT22,shw_residential,1.0,0,15,9818.32,
AT22,shw_residential,1.0,0,16,8783.7,
AT22,shw_residential,1.0,0,17,7749.07,
AT22,shw_residential,1.0,0,18,11370.2,
AT22,shw_residential,1.0,0,19,13698.1,
AT22,shw_residential,1.0,0,20,16284.7,
AT22,shw_residential,1.0,0,21,13439.5,
AT22,shw_residential,1.0,0,22,13439.5,
AT22,shw_residential,1.0,0,23,10335.6,
AT22,shw_residential,1.0,0,24,8007.72,
AT22,shw_residential,1.0,1,1,5426.46,
AT22,shw_residential,1.0,1,2,2845.21,
AT22,shw_residential,1.0,1,3,1551.93,
AT22,shw_residential,1.0,1,4,775.965,
AT22,shw_residential,1.0,1,5,1034.62,
AT22,shw_residential,1.0,1,6,1810.58,
AT22,shw_residential,1.0,1,7,3103.86,
AT22,shw_residential,1.0,1,8,8276.95,
AT22,shw_residential,1.0,1,9,17071.2,
AT22,shw_residential,1.0,1,10,24054.9,
AT22,shw_residential,1.0,1,11,24313.6,
AT22,shw_residential,1.0,1,12,20951.0,
AT22,shw_residential,1.0,1,13,19916.4,
AT22,shw_residential,1.0,1,14,21468.4,
AT22,shw_residential,1.0,1,15,20433.8,
AT22,shw_residential,1.0,1,16,20692.4,
AT22,shw_residential,1.0,1,17,23020.3,
AT22,shw_residential,1.0,1,18,27417.5,
AT22,shw_residential,1.0,1,19,28969.4,
AT22,shw_residential,1.0,1,20,24572.2,
AT22,shw_residential,1.0,1,21,17071.2,
AT22,shw_residential,1.0,1,22,10346.2,
AT22,shw_residential,1.0,1,23,6725.03,
AT22,shw_residential,1.0,1,24,6207.72,
AT22,shw_residential,1.0,2,1,5173.1,
AT22,shw_residential,1.0,2,2,4138.48,
AT22,shw_residential,1.0,2,3,2845.21,
AT22,shw_residential,1.0,2,4,1293.28,
AT22,shw_residential,1.0,2,5,1034.62,
AT22,shw_residential,1.0,2,6,775.965,
AT22,shw_residential,1.0,2,7,2327.9,
AT22,shw_residential,1.0,2,8,8276.95,
AT22,shw_residential,1.0,2,9,17329.9,
AT22,shw_residential,1.0,2,10,27676.1,
AT22,shw_residential,1.0,2,11,30004.0,
AT22,shw_residential,1.0,2,12,29228.0,
AT22,shw_residential,1.0,2,13,24830.9,
AT22,shw_residential,1.0,2,14,21468.4,
AT22,shw_residential,1.0,2,15,15519.3,
AT22,shw_residential,1.0,2,16,10346.2,
AT22,shw_residential,1.0,2,17,8276.95,
AT22,shw_residential,1.0,2,18,10346.2,
AT22,shw_residential,1.0,2,19,13967.4,
AT22,shw_residential,1.0,2,20,14484.7,
AT22,shw_residential,1.0,2,21,13708.7,
AT22,shw_residential,1.0,2,22,13191.4,
AT22,shw_residential,1.0,2,23,10863.5,
AT22,shw_residential,1.0,2,24,8014.79,
AT22,shw_residential,2.0,0,1,2969.25,
AT22,shw_residential,2.0,0,2,1160.42,
AT22,shw_residential,2.0,0,3,450.883,
AT22,shw_residential,2.0,0,4,580.211,
AT22,shw_residential,2.0,0,5,1742.4,
AT22,shw_residential,2.0,0,6,5943.77,
AT22,shw_residential,2.0,0,7,12410.1,
AT22,shw_residential,2.0,0,8,16290.0,
AT22,shw_residential,2.0,0,9,16160.7,
AT22,shw_residential,2.0,0,10,12539.5,
AT22,shw_residential,2.0,0,11,10340.9,
AT22,shw_residential,2.0,0,12,9306.3,
AT22,shw_residential,2.0,0,13,9435.61,
AT22,shw_residential,2.0,0,14,9564.93,
AT22,shw_residential,2.0,0,15,8788.99,
AT22,shw_residential,2.0,0,16,7754.37,
AT22,shw_residential,2.0,0,17,7107.73,
AT22,shw_residential,2.0,0,18,9176.95,
AT22,shw_residential,2.0,0,19,11634.2,
AT22,shw_residential,2.0,0,20,13444.8,
AT22,shw_residential,2.0,0,21,12280.8,
AT22,shw_residential,2.0,0,22,11763.5,
AT22,shw_residential,2.0,0,23,9435.6,
AT22,shw_residential,2.0,0,24,6978.38,
AT22,shw_residential,2.0,1,1,4556.15,
AT22,shw_residential,2.0,1,2,2133.91,
AT22,shw_residential,2.0,1,3,1228.61,
AT22,shw_residential,2.0,1,4,452.647,
AT22,shw_residential,2.0,1,5,711.302,
AT22,shw_residential,2.0,1,6,1745.92,
AT22,shw_residential,2.0,1,7,3815.17,
AT22,shw_residential,2.0,1,8,8535.62,
AT22,shw_residential,2.0,1,9,15260.7,
AT22,shw_residential,2.0,1,10,19916.4,
AT22,shw_residential,2.0,1,11,19528.4,
AT22,shw_residential,2.0,1,12,16941.8,
AT22,shw_residential,2.0,1,13,15907.2,
AT22,shw_residential,2.0,1,14,17200.6,
AT22,shw_residential,2.0,1,15,16036.7,
AT22,shw_residential,2.0,1,16,15907.3,
AT22,shw_residential,2.0,1,17,17329.9,
AT22,shw_residential,2.0,1,18,21080.4,
AT22,shw_residential,2.0,1,19,23537.7,
AT22,shw_residential,2.0,1,20,21339.1,
AT22,shw_residential,2.0,1,21,16166.0,
AT22,shw_residential,2.0,1,22,10863.5,
AT22,shw_residential,2.0,1,23,7242.34,
AT22,shw_residential,2.0,1,24,5949.06,
AT22,shw_residential,2.0,2,1,4267.81,
AT22,shw_residential,2.0,2,2,2974.53,
AT22,shw_residential,2.0,2,3,1810.59,
AT22,shw_residential,2.0,2,4,646.64,
AT22,shw_residential,2.0,2,5,581.974,
AT22,shw_residential,2.0,2,6,581.974,
AT22,shw_residential,2.0,2,7,2392.56,
AT22,shw_residential,2.0,2,8,7113.0,
AT22,shw_residential,2.0,2,9,14743.3,
AT22,shw_residential,2.0,2,10,22632.3,
AT22,shw_residential,2.0,2,11,25736.2,
AT22,shw_residential,2.0,2,12,25348.2,
AT22,shw_residential,2.0,2,13,22115.0,
AT22,shw_residential,2.0,2,14,18364.5,
AT22,shw_residential,2.0,2,15,13579.4,
AT22,shw_residential,2.0,2,16,9182.25,
AT22,shw_residential,2.0,2,17,7630.32,
AT22,shw_residential,2.0,2,18,8794.27,
AT22,shw_residential,2.0,2,19,11380.8,
AT22,shw_residential,2.0,2,20,12156.8,
AT22,shw_residential,2.0,2,21,11380.8,
AT22,shw_residential,2.0,2,22,10992.8,
AT22,shw_residential,2.0,2,23,8794.26,
AT22,shw_residential,2.0,2,24,6464.62,
AT31,shw_residential,0.0,0,1,2845.21,
AT31,shw_residential,0.0,0,2,1034.62,
AT31,shw_residential,0.0,0,3,646.638,
AT31,shw_residential,0.0,0,4,646.638,
AT31,shw_residential,0.0,0,5,1681.26,
AT31,shw_residential,0.0,0,6,4914.43,
AT31,shw_residential,0.0,0,7,9828.88,
AT31,shw_residential,0.0,0,8,12932.7,
AT31,shw_residential,0.0,0,9,13450.1,
AT31,shw_residential,0.0,0,10,10604.9,
AT31,shw_residential,0.0,0,11,8794.28,
AT31,shw_residential,0.0,0,12,7501.0,
AT31,shw_residential,0.0,0,13,8018.31,
AT31,shw_residential,0.0,0,14,8276.96,
AT31,shw_residential,0.0,0,15,7759.65,
AT31,shw_residential,0.0,0,16,6725.03,
AT31,shw_residential,0.0,0,17,6466.38,
AT31,shw_residential,0.0,0,18,6983.69,
AT31,shw_residential,0.0,0,19,9570.23,
AT31,shw_residential,0.0,0,20,10604.8,
AT31,shw_residential,0.0,0,21,11122.2,
AT31,shw_residential,0.0,0,22,10087.5,
AT31,shw_residential,0.0,0,23,8535.6,
AT31,shw_residential,0.0,0,24,5949.05,
AT31,shw_residential,0.0,1,1,3685.83,
AT31,shw_residential,0.0,1,2,1422.6,
AT31,shw_residential,0.0,1,3,905.294,
AT31,shw_residential,0.0,1,4,129.328,
AT31,shw_residential,0.0,1,5,387.983,
AT31,shw_residential,0.0,1,6,1681.26,
AT31,shw_residential,0.0,1,7,4526.47,
AT31,shw_residential,0.0,1,8,8794.28,
AT31,shw_residential,0.0,1,9,13450.1,
AT31,shw_residential,0.0,1,10,15778.0,
AT31,shw_residential,0.0,1,11,14743.3,
AT31,shw_residential,0.0,1,12,12932.7,
AT31,shw_residential,0.0,1,13,11898.1,
AT31,shw_residential,0.0,1,14,12932.7,
AT31,shw_residential,0.0,1,15,11639.5,
AT31,shw_residential,0.0,1,16,11122.2,
AT31,shw_residential,0.0,1,17,11639.5,
AT31,shw_residential,0.0,1,18,14743.3,
AT31,shw_residential,0.0,1,19,18105.9,
AT31,shw_residential,0.0,1,20,18105.9,
AT31,shw_residential,0.0,1,21,15260.7,
AT31,shw_residential,0.0,1,22,11380.8,
AT31,shw_residential,0.0,1,23,7759.65,
AT31,shw_residential,0.0,1,24,5690.41,
AT31,shw_residential,0.0,2,1,3362.52,
AT31,shw_residential,0.0,2,2,1810.59,
AT31,shw_residential,0.0,2,3,775.967,
AT31,shw_residential,0.0,2,4,0.0,
AT31,shw_residential,0.0,2,5,129.328,
AT31,shw_residential,0.0,2,6,387.983,
AT31,shw_residential,0.0,2,7,2457.22,
AT31,shw_residential,0.0,2,8,5949.06,
AT31,shw_residential,0.0,2,9,12156.8,
AT31,shw_residential,0.0,2,10,17588.5,
AT31,shw_residential,0.0,2,11,21468.4,
AT31,shw_residential,0.0,2,12,21468.4,
AT31,shw_residential,0.0,2,13,19399.1,
AT31,shw_residential,0.0,2,14,15260.6,
AT31,shw_residential,0.0,2,15,11639.5,
AT31,shw_residential,0.0,2,16,8018.29,
AT31,shw_residential,0.0,2,17,6983.69,
AT31,shw_residential,0.0,2,18,7242.34,
AT31,shw_residential,0.0,2,19,8794.26,
AT31,shw_residential,0.0,2,20,9828.86,
AT31,shw_residential,0.0,2,21,9052.9,
AT31,shw_residential,0.0,2,22,8794.26,
AT31,shw_residential,0.0,2,23,6725.03,
AT31,shw_residential,0.0,2,24,4914.45,
AT31,shw_residential,1.0,0,1,3093.28,
AT31,shw_residential,1.0,0,2,1286.22,
AT31,shw_residential,1.0,0,3,255.128,
AT31,shw_residential,1.0,0,4,513.783,
AT31,shw_residential,1.0,0,5,1803.53,
AT31,shw_residential,1.0,0,6,6973.1,
AT31,shw_residential,1.0,0,7,14991.4,
AT31,shw_residential,1.0,0,8,19647.2,
AT31,shw_residential,1.0,0,9,18871.2,
AT31,shw_residential,1.0,0,10,14474.1,
AT31,shw_residential,1.0,0,11,11887.6,
AT31,shw_residential,1.0,0,12,11111.6,
AT31,shw_residential,1.0,0,13,10852.9,
AT31,shw_residential,1.0,0,14,10852.9,
AT31,shw_residential,1.0,0,15,9818.32,
